contributor,bothunter_type,actor
DaniGlez,Human,False
JosephBARBIERDARNAL,Human,False
Peter-Hogg,Human,False
SunyongKwon,Human,False
adrinjalali,Human,False
araujoms,Human,False
bgruening,Human,False
chainsawriot,Human,False
dask-bot,Bot,False
davidbrochart,Human,False
ericphanson,Human,False
github-actions[bot],Bot,True
github-advanced-security[bot],Bot,True
gnikit,Human,False
gxydevbot,Human,False
hackmd-hub[bot],Bot,True
ilayn,Human,False
jessegrabowski,Human,False
juanis2112,Human,False
kratman,Human,False
kwrobot,Human,False
lumberbot-app[bot],Bot,True
m-albert,Human,False
mbauman,Human,False
mirror-dump,Human,False
mrclary,Human,False
napari-bot,Bot,False
nsoranzo,Human,False
pep8speaks,Bot,False
petrasovaa,Human,False
review-notebook-app[bot],Bot,True
ricardoV94,Human,False
rodoulak,Bot,False
scikit-learn-bot,Bot,False
sebastian-luna-valero,Human,False
tarleb,Human,False
transifex-integration[bot],Bot,True
vchuravy,Human,False
welcome[bot],Bot,True
zachary-foster,Human,False
